country_code,country_id,product,product_code,flow,unit,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
8,Albania,roundwood,14,EXPORTS,1000 m3,0.03,0.03,0.03,0.03,8.46,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,Albania,roundwood,14,EXPORTS,1000 US$,10.63,10.63,10.63,10.63,612.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0
8,Albania,roundwood,14,IMPORTS,1000 m3,0.37,0.37,0.37,0.37,2.0,1.0,1.0,1.0,1.0,1.0,0.94,1.71,5.66,9.84,9.6
8,Albania,roundwood,14,IMPORTS,1000 US$,58.29,58.29,58.29,58.29,320.0,106.0,106.0,106.0,106.0,106.0,56.63,166.48,451.63,1011.3,846.64
8,Albania,roundwood,14,REMOVALS,1000 m3,30.66,30.66,30.66,30.66,30.66,30.66,30.67,30.67,30.67,30.67,30.67,58.41,72.05,47.37,80.39
8,Albania,roundwood,14,EXPORTS,1000 m3,0.43,0.43,0.43,0.43,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8,Albania,roundwood,14,EXPORTS,1000 US$,128.71,128.71,128.71,128.71,4.0,153.0,153.0,153.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0
8,Albania,roundwood,14,IMPORTS,1000 m3,0.22,0.22,0.22,1.5,5.0,4.0,4.0,19.0,19.0,19.0,8.15,14.07,9.26,15.6,12.39
8,Albania,roundwood,14,IMPORTS,1000 US$,10.4,10.4,10.4,501.0,757.0,579.0,635.0,1580.0,1580.0,1580.0,562.29,1024.65,765.46,1593.72,1078.69
8,Albania,roundwood,14,REMOVALS,1000 m3,49.33,49.33,49.33,49.33,49.33,49.33,49.34,49.34,49.34,49.34,49.34,76.54,59.54,65.4,56.54
8,Albania,roundwood,14,EXPORTS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,roundwood,14,EXPORTS,1000 US$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,roundwood,14,IMPORTS,1000 m3,0.16,0.16,0.16,0.09,0.03,0.24,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,roundwood,14,IMPORTS,1000 US$,4.3,4.3,4.3,49.77,15.57,83.36,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,roundwood,14,REMOVALS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,9.27,5.1
8,Albania,roundwood,14,EXPORTS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,roundwood,14,EXPORTS,1000 US$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
